"parm_id","y_xbar","slope","sigma","x_min","x_max","x_by"
"S",3.88,0.66,1.3,0,20,0.25
"F",3.9,0.66,2.8,0,20,0.25
"V",3.89,1.98,1.5,4,16,0.25
"N",4.11,-0.7,2.5,0,20,0.25
