"parm_id","x","participant_id"
"F",7,"0f9fcc784854be73d00970816ffde0e5"
"F",7.5,"0f9fcc784854be73d00970816ffde0e5"
"F",8,"0f9fcc784854be73d00970816ffde0e5"
"F",8.5,"0f9fcc784854be73d00970816ffde0e5"
"F",9,"0f9fcc784854be73d00970816ffde0e5"
"F",9.5,"0f9fcc784854be73d00970816ffde0e5"
"F",10,"0f9fcc784854be73d00970816ffde0e5"
"F",10.5,"0f9fcc784854be73d00970816ffde0e5"
"F",11,"0f9fcc784854be73d00970816ffde0e5"
"F",11.5,"0f9fcc784854be73d00970816ffde0e5"
"F",12,"0f9fcc784854be73d00970816ffde0e5"
"F",12.5,"0f9fcc784854be73d00970816ffde0e5"
"F",13,"0f9fcc784854be73d00970816ffde0e5"
"F",13.5,"0f9fcc784854be73d00970816ffde0e5"
"F",14,"0f9fcc784854be73d00970816ffde0e5"
"F",14.5,"0f9fcc784854be73d00970816ffde0e5"
"F",15,"0f9fcc784854be73d00970816ffde0e5"
"F",15.5,"0f9fcc784854be73d00970816ffde0e5"
"F",16,"0f9fcc784854be73d00970816ffde0e5"
"F",16.5,"0f9fcc784854be73d00970816ffde0e5"
"F",17,"0f9fcc784854be73d00970816ffde0e5"
"F",17.5,"0f9fcc784854be73d00970816ffde0e5"
"F",18,"0f9fcc784854be73d00970816ffde0e5"
"F",18.5,"0f9fcc784854be73d00970816ffde0e5"
"F",19,"0f9fcc784854be73d00970816ffde0e5"
"F",19.5,"0f9fcc784854be73d00970816ffde0e5"
"F",20,"0f9fcc784854be73d00970816ffde0e5"
"N",0,"0f9fcc784854be73d00970816ffde0e5"
"N",0.5,"0f9fcc784854be73d00970816ffde0e5"
"N",1,"0f9fcc784854be73d00970816ffde0e5"
"N",1.5,"0f9fcc784854be73d00970816ffde0e5"
"N",2,"0f9fcc784854be73d00970816ffde0e5"
"N",2.5,"0f9fcc784854be73d00970816ffde0e5"
"N",3,"0f9fcc784854be73d00970816ffde0e5"
"N",3.5,"0f9fcc784854be73d00970816ffde0e5"
"N",4,"0f9fcc784854be73d00970816ffde0e5"
"N",4.5,"0f9fcc784854be73d00970816ffde0e5"
"N",5,"0f9fcc784854be73d00970816ffde0e5"
"N",5.5,"0f9fcc784854be73d00970816ffde0e5"
"N",6,"0f9fcc784854be73d00970816ffde0e5"
"N",6.5,"0f9fcc784854be73d00970816ffde0e5"
"N",7,"0f9fcc784854be73d00970816ffde0e5"
"N",7.5,"0f9fcc784854be73d00970816ffde0e5"
"N",8,"0f9fcc784854be73d00970816ffde0e5"
"N",8.5,"0f9fcc784854be73d00970816ffde0e5"
"N",9,"0f9fcc784854be73d00970816ffde0e5"
"N",9.5,"0f9fcc784854be73d00970816ffde0e5"
"N",10,"0f9fcc784854be73d00970816ffde0e5"
"N",10.5,"0f9fcc784854be73d00970816ffde0e5"
"N",11,"0f9fcc784854be73d00970816ffde0e5"
"N",11.5,"0f9fcc784854be73d00970816ffde0e5"
"N",12,"0f9fcc784854be73d00970816ffde0e5"
"N",12.5,"0f9fcc784854be73d00970816ffde0e5"
"N",13,"0f9fcc784854be73d00970816ffde0e5"
"N",13.5,"0f9fcc784854be73d00970816ffde0e5"
"N",14,"0f9fcc784854be73d00970816ffde0e5"
"N",14.5,"0f9fcc784854be73d00970816ffde0e5"
"N",15,"0f9fcc784854be73d00970816ffde0e5"
"N",15.5,"0f9fcc784854be73d00970816ffde0e5"
"N",16,"0f9fcc784854be73d00970816ffde0e5"
"N",16.5,"0f9fcc784854be73d00970816ffde0e5"
"N",17,"0f9fcc784854be73d00970816ffde0e5"
"N",17.5,"0f9fcc784854be73d00970816ffde0e5"
"N",18,"0f9fcc784854be73d00970816ffde0e5"
"N",18.5,"0f9fcc784854be73d00970816ffde0e5"
"N",19,"0f9fcc784854be73d00970816ffde0e5"
"N",19.5,"0f9fcc784854be73d00970816ffde0e5"
"N",20,"0f9fcc784854be73d00970816ffde0e5"
