"x","parm_id","emmean.ols","SE.ols","df.ols","asymp.LCL.ols","asymp.UCL.ols","emmean.pca","SE.pca","df.pca","asymp.LCL.pca","asymp.UCL.pca"
9.5,"F",-0.147174294398973,0.0539080975904237,Inf,-0.252832224151274,-0.0415163646466725,-0.0255063590601468,0.0638602352418578,Inf,-0.150670120178443,0.09965740205815
10,"F",-0.115703531454274,0.0538925152975985,Inf,-0.221330920473841,-0.010076142434707,-0.0455666877755089,0.0638434339982633,Inf,-0.170697519061465,0.0795641435104473
10.5,"F",-0.0842327685095746,0.0539080975904237,Inf,-0.189890698261875,0.0214251612427263,-0.065627016490871,0.0638602352418578,Inf,-0.190790777609168,0.0595367446274257
11,"F",-0.0527620055648752,0.0539548174676637,Inf,-0.158511504593929,0.0529874934641783,-0.0856873452062331,0.0639106124717158,Inf,-0.210949843880692,0.0395751534682262
11.5,"F",-0.0212912426201759,0.0540325941590138,Inf,-0.127193181163112,0.0846106959227604,-0.105747673921595,0.0639944863936251,Inf,-0.231174562462239,0.0196792146190484
12,"F",0.0101795203245234,0.0541412938206133,Inf,-0.0959354656402797,0.116294506289326,-0.125808002636957,0.0641117255419592,Inf,-0.251464675685914,-0.000151329588000654
12.5,"F",0.0416502832692228,0.0542807306787665,Inf,-0.064737993915678,0.148038560454124,-0.145868331352319,0.0642621473035313,Inf,-0.271819825636449,-0.0199168370681903
13,"F",0.0731210462139221,0.0544506685992477,Inf,-0.0336003031747294,0.179842395602574,-0.165928660067682,0.0644455193249587,Inf,-0.292239556909581,-0.0396177632257825
13.5,"F",0.104591809158622,0.0546508230516515,Inf,-0.00252183574808683,0.21170545406533,-0.185988988783044,0.0646615612785224,Inf,-0.312723320073077,-0.0592546574930101
14,"F",0.136062572103321,0.0548808634313844,Inf,0.0284980563373461,0.243627087869296,-0.206049317498406,0.0649099469557493,Inf,-0.33327047577008,-0.0788281592267317
14.5,"F",0.16753333504802,0.055140415696285,Inf,0.0594601061907345,0.275606563905306,-0.226109646213768,0.0651903066531359,Inf,-0.353880299395036,-0.0983389930324997
15,"F",0.19900409799272,0.0554290652706455,Inf,0.0903651263655345,0.307643069619905,-0.24616997492913,0.0655022298106805,Inf,-0.37455198626513,-0.11778796359313
